RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
1,"Nikola Jokic, C",DEN,61,35.2,0.567,0.858,1.4,11,8.7,1.4,0.6,3.2,26.2,54.5
2,"Giannis Antetokounmpo, PF",MIL,51,33.6,0.568,0.682,1.1,11.4,6,1.2,1.3,3.6,28.5,52.4
3,"James Harden, SG",BKN,42,37.1,0.463,0.87,2.8,8,10.9,1.2,0.7,4.1,25.2,50.6
4,"Luka Doncic, PG",DAL,55,35.2,0.482,0.726,3,8,8.7,1,0.6,4.3,28.4,50.1
5,"Joel Embiid, C",PHI,42,31.9,0.514,0.85,1.2,11,3.1,1,1.4,3.1,29.8,49.8
6,"Stephen Curry, PG",GSW,53,34.1,0.489,0.917,5.2,5.6,5.8,1.2,0.1,3.4,31.3,49.3
7,"LeBron James, SF",LAL,41,33.9,0.513,0.703,2.4,7.9,7.9,1,0.6,3.7,25.4,46.7
8,"Kevin Durant, PF",BKN,25,32.5,0.544,0.87,2.5,6.7,5.2,0.6,1.3,3.6,27.5,46.5
9,"Kyrie Irving, PG",BKN,45,35.2,0.507,0.923,2.7,5,6.5,1.3,0.6,2.5,27.3,46.1
10,"Russell Westbrook, PG",WAS,54,35.7,0.437,0.628,1.3,11,11,1.3,0.4,5,21.8,45.9
,"Bradley Beal, SG",WAS,52,35.6,0.486,0.9,2.2,4.8,4.6,1.2,0.4,3.2,31.4,45.9
12,"Karl-Anthony Towns, C",MIN,40,34.3,0.491,0.868,2.4,10.9,4.5,0.7,1.4,3.2,24.7,45.6
13,"Damian Lillard, PG",POR,55,36,0.434,0.923,4,4.2,7.5,0.9,0.3,3.1,28.4,45.1
14,"Kawhi Leonard, SF",LAC,46,34.4,0.516,0.878,2,6.7,5.1,1.7,0.4,2,25.7,44.4
15,"Nikola Vucevic, C",CHI,62,33.5,0.49,0.836,2.6,11.3,3.7,1,0.7,1.8,23.9,44.2
16,"Zion Williamson, PF",NOR,56,32.9,0.618,0.696,0.2,7.2,3.6,0.9,0.6,2.6,26.9,43.9
17,"Julius Randle, PF",NYK,61,37.5,0.46,0.805,2.2,10.4,6,1,0.2,3.5,23.9,43.5
18,"Zach LaVine, SG",CHI,53,35.2,0.506,0.848,3.4,5.1,5.1,0.8,0.5,3.6,27.5,43
19,"Trae Young, PG",ATL,54,34.2,0.429,0.874,2.3,3.9,9.6,0.9,0.2,4.2,25.3,42.5
