,Player,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Offensive Archetype,Pos,LEBRON,O-LEBRON,D-LEBRON,Wins Added,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
0,Aaron Gordon,176.0,25.0,27,755,15.233333333333334,0.5626666666666666,0.369,0.3,5.400000000000001,17.13333333333333,11.133333333333333,18.3,1.2666666666666666,2.3666666666666667,14.866666666666667,20.933333333333334,,0.39999999999999997,0.6666666666666666,1.0666666666666667,0.07466666666666667,0.6333333333333333,0.0,0.6333333333333333,0.5333333333333333,18136364.0,Stretch Big,PF,0.81,0.67,0.14,2.2,0.1,-0.22,0.32
1,Aaron Holiday,217.0,24.0,57,980,8.8,0.499,0.427,0.175,1.1,6.7,3.9,12.8,1.8,0.8,11.2,19.9,,-0.6,0.7,0.1,0.004,-3.3,-1.1,-4.4,-0.6,2345640.0,Stationary Shooter,PG,-1.83,-0.89,-0.94,0.3,-2.56,-1.31,-1.25
2,Aaron Nesmith,354.0,21.0,34,433,6.4,0.513,0.712,0.154,4.1,15.5,9.8,3.9,1.0,1.3,13.9,12.9,,-0.1,0.4,0.3,0.03,-4.0,-0.6,-4.7,-0.3,3458400.0,Stationary Shooter,SF,-1.98,-2.0,0.01,0.1,-2.39,-2.1,-0.29
3,Abdel Nader,352.0,27.0,24,355,13.4,0.605,0.371,0.319,2.3,17.1,9.8,7.4,1.4,2.3,12.6,18.9,,0.3,0.5,0.8,0.102,-1.2,0.8,-0.4,0.2,1752950.0,Stationary Shooter,SF,-1.81,-1.72,-0.09,0.1,-1.29,-1.28,-0.01
4,Al Horford,223.0,34.0,28,782,17.5,0.538,0.422,0.061,3.9,21.2,12.5,20.0,1.5,2.9,7.3,21.8,,0.8,0.9,1.7,0.104,1.9,1.4,3.3,1.0,27500000.0,Versatile Big,C,1.13,-0.12,1.25,1.8,1.16,0.4,0.76
5,Al-Farouq Aminu,10.0,30.0,13,261,5.733333333333333,0.4043333333333334,0.4579999999999999,0.355,3.533333333333333,28.233333333333334,15.799999999999999,8.966666666666669,1.4666666666666668,1.4666666666666668,25.266666666666666,12.999999999999998,,-0.2666666666666667,0.3333333333333333,0.03333333333333334,-0.028999999999999998,-7.133333333333334,0.13333333333333341,-7.033333333333332,-0.13333333333333333,9720900.0,Stretch Big,PF,-0.94,-2.31,1.38,0.3,-0.62,-2.03,1.41
6,Alec Burks,80.0,29.0,44,1134,14.6,0.561,0.491,0.25,1.8,17.0,9.5,13.0,1.3,1.0,8.2,20.9,,1.4,1.6,3.0,0.126,0.5,0.3,0.8,0.8,6000000.0,Secondary Ball Handler,SG,-0.43,-0.2,-0.23,1.4,-0.2,-0.08,-0.12
7,Aleksej Pokusevski,395.0,19.0,37,865,6.4,0.419,0.536,0.095,3.0,17.8,10.4,12.6,0.9,4.2,18.1,19.9,,-2.3,0.9,-1.4,-0.076,-5.2,-0.4,-5.7,-0.8,2964840.0,Secondary Ball Handler,PF,-3.38,-2.86,-0.52,-0.6,-2.17,-2.54,0.37
8,Alex Caruso,93.0,26.0,50,1027,10.9,0.549,0.475,0.254,2.8,12.9,7.9,16.6,2.7,1.1,18.6,13.9,,0.3,1.9,2.1,0.1,-2.7,2.5,-0.2,0.5,2750000.0,Stationary Shooter,PG,1.21,-0.94,2.15,2.3,-0.54,-1.59,1.05
9,Alex Len,284.0,27.0,34,523,12.233333333333333,0.6453333333333334,0.26266666666666666,0.49566666666666664,4.933333333333334,18.366666666666664,11.600000000000001,6.833333333333332,0.7333333333333334,6.433333333333334,23.53333333333333,15.1,,0.6,0.6666666666666666,1.2666666666666666,0.07266666666666667,-3.266666666666666,0.9333333333333332,-2.3000000000000003,0.13333333333333333,4032648.0,Roll + Cut Big,C,-0.04,-1.71,1.68,1.1,0.11,-1.28,1.39
10,Alex Len,284.0,27.0,34,523,12.233333333333333,0.6453333333333334,0.26266666666666666,0.49566666666666664,4.933333333333334,18.366666666666664,11.600000000000001,6.833333333333332,0.7333333333333334,6.433333333333334,23.53333333333333,15.1,,0.6,0.6666666666666666,1.2666666666666666,0.07266666666666667,-3.266666666666666,0.9333333333333332,-2.3000000000000003,0.13333333333333333,4032648.0,Roll + Cut Big,C,-0.04,-1.71,1.68,1.1,0.11,-1.28,1.39
11,Alfonzo McKinnie,326.0,28.0,34,220,15.2,0.612,0.427,0.227,8.8,14.6,11.7,4.1,1.1,0.0,4.6,17.1,,0.4,0.3,0.7,0.161,0.5,-1.0,-0.6,0.1,1762796.0,Athletic Finisher,SF,-1.38,-0.79,-0.59,0.1,-1.06,-0.45,-0.61
12,Alize Johnson,250.0,24.0,12,127,22.3,0.636,0.102,0.061,16.6,31.1,24.1,10.8,1.5,1.4,13.7,20.0,,0.3,0.2,0.5,0.182,2.3,0.0,2.3,0.1,399591.0,Roll + Cut Big,PF,0.62,0.67,-0.06,0.2,-0.08,0.16,-0.24
13,Andre Drummond,133.0,27.0,23,636,18.5,0.509,0.012666666666666668,0.36400000000000005,13.899999999999999,35.56666666666667,24.666666666666668,13.833333333333334,2.8666666666666667,3.233333333333333,17.333333333333332,27.7,,-0.5666666666666668,1.3333333333333333,0.7999999999999999,0.06666666666666667,-2.0666666666666664,0.9,-1.1333333333333333,0.19999999999999998,29546311.0,Post Scorer,C,1.24,-0.39,1.62,2.1,1.3,-0.05,1.36
14,Andre Drummond,133.0,27.0,23,636,18.5,0.509,0.012666666666666668,0.36400000000000005,13.899999999999999,35.56666666666667,24.666666666666668,13.833333333333334,2.8666666666666667,3.233333333333333,17.333333333333332,27.7,,-0.5666666666666668,1.3333333333333333,0.7999999999999999,0.06666666666666667,-2.0666666666666664,0.9,-1.1333333333333333,0.19999999999999998,29546311.0,Post Scorer,C,1.24,-0.39,1.62,2.1,1.3,-0.05,1.36
15,Andre Iguodala,233.0,37.0,54,1159,9.8,0.519,0.752,0.15,3.4,15.5,9.6,14.0,2.3,2.8,18.0,11.4,,0.0,1.7,1.7,0.072,-2.3,2.0,-0.3,0.5,15000000.0,Stationary Shooter,SF,-0.79,-1.77,0.98,1.1,-0.79,-1.96,1.17
16,Andre Roberson,420.0,29.0,5,63,4.2,0.202,0.571,0.143,13.0,13.5,13.3,7.4,2.3,1.4,11.8,11.6,,-0.1,0.1,-0.1,-0.043,-5.1,-1.2,-6.2,-0.1,152839.0,Stretch Big,SG,-0.53,-0.24,-0.29,0.1,-0.48,-0.11,-0.36
17,Andrew Wiggins,508.0,25.0,60,1977,14.5,0.565,0.359,0.24,3.2,12.3,7.8,10.6,1.4,2.6,10.2,23.1,,0.7,2.2,2.9,0.07,-0.2,-0.6,-0.8,0.6,29542010.0,Shot Creator,PF,-0.24,-0.96,0.72,2.6,-0.23,-0.24,0.01
18,Anfernee Simons,446.0,21.0,51,836,12.6,0.58,0.707,0.145,1.1,13.5,7.1,12.4,0.8,0.6,9.2,19.6,,1.1,0.1,1.2,0.07,0.7,-2.0,-1.3,0.1,2252040.0,Secondary Ball Handler,SG,-2.79,-0.46,-2.33,-0.3,-1.34,0.07,-1.41
19,Anthony Davis,115.0,27.0,25,800,23.3,0.569,0.158,0.34,7.0,20.8,14.0,16.1,1.9,4.7,9.0,28.3,,1.2,1.7,2.9,0.176,3.8,1.7,5.5,1.5,32742000.0,Post Scorer,PF,4.09,2.36,1.74,3.2,3.5,1.82,1.67
20,Anthony Edwards,136.0,19.0,61,1916,12.9,0.507,0.428,0.213,2.6,13.1,7.6,13.8,1.8,1.1,10.5,27.1,,-1.2,1.0,-0.2,-0.006,-1.5,-2.0,-3.4,-0.7,9757440.0,Secondary Ball Handler,SG,-2.07,0.16,-2.23,0.3,-2.47,-0.72,-1.76
