,Player,TRB,AST,STL,BLK,PTS
224,Aaron Gordon,5.9,3.5,0.7,0.7,13.2
225,Aaron Gordon,6.6,4.2,0.6,0.8,14.6
226,Aaron Gordon,4.8,2.4,0.8,0.6,11.2
285,Aaron Holiday,1.2,1.6,0.6,0.2,6.9
459,Aaron Nesmith,2.2,0.4,0.3,0.2,3.4
457,Abdel Nader,2.6,0.8,0.4,0.4,6.7
442,Adam Mokoka,0.5,0.5,0.2,0.1,1.4
293,Al Horford,6.7,3.4,0.9,0.9,14.2
101,Alec Burks,4.5,2.2,0.7,0.3,12.6
510,Aleksej Pokusevski,4.6,2.2,0.5,1.1,7.6
579,Alen Smailagic,0.8,0.3,0.2,0.4,1.7
116,Alex Caruso,2.9,2.5,1.1,0.3,5.9
377,Alex Len,3.9,0.8,0.3,1,6.7
378,Alex Len,1.6,0.4,0.1,0.9,2.3
379,Alex Len,4.2,0.9,0.3,1,7.4
13,Al-Farouq Aminu,5,1.5,0.9,0.5,4.8
14,Al-Farouq Aminu,5.4,1.7,1,0.5,5.5
15,Al-Farouq Aminu,3,0.3,0,0,0.7
425,Alfonzo McKinnie,1.4,0.2,0.1,0,3
326,Alize Johnson,4.6,0.8,0.3,0.2,5.3
84,Amida Brimah,1.5,0,0,1.5,3
126,Amir Coffey,1,0.5,0.2,0,3.3
494,Anzejs Pasecniks,1,1,0,0,0
172,Andre Drummond,12.6,2.3,1.6,1.1,15.7
173,Andre Drummond,13.5,2.6,1.6,1.2,17.5
174,Andre Drummond,10.4,1.7,1.6,0.9,11.4
305,Andre Iguodala,3.6,2.2,1,0.6,4.6
545,Andre Roberson,3,0.8,0.6,0.2,1.2
659,Andrew Wiggins,4.8,2.4,1,1,17.9
577,Anfernee Simons,2.2,1.4,0.3,0.1,8.2
148,Anthony Davis,8,3,1.2,1.7,21.4
178,Anthony Edwards,4.6,2.7,1.2,0.4,18.3
220,Anthony Gill,2,0.3,0.3,0.1,2.2
368,Anthony Lamb,2.3,0.4,0.1,0.1,3.6
615,Anthony Tolliver,2,0.5,0.8,0.5,1.5
87,Armoni Brooks,3.6,1.3,0.4,0.1,7.5
42,Aron Baynes,5.1,0.9,0.3,0.4,5.8
243,Ashton Hagans,0,0,0,0,0
