,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
0,Nikola Jokic,DEN,60,35.3,.568,.853,1.4,10.9,8.7,1.4,0.7,3.1,26.2,54.6
1,Giannis Antetokounmpo,MIL,51,33.6,.568,.682,1.1,11.4,6.0,1.2,1.3,3.6,28.5,52.4
2,James Harden,BKN,42,37.1,.463,.870,2.8,8.0,10.9,1.2,0.7,4.1,25.2,50.6
3,Luka Doncic,DAL,54,35.1,.483,.727,3.0,8.0,8.8,1.0,0.6,4.3,28.5,50.3
4,Joel Embiid,PHI,41,32.1,.513,.851,1.2,11.1,3.1,1.0,1.4,3.2,30.0,50.2
5,Stephen Curry,GSW,53,34.1,.489,.917,5.2,5.6,5.8,1.2,0.1,3.4,31.3,49.3
6,LeBron James,LAL,41,33.9,.513,.703,2.4,7.9,7.9,1.0,0.6,3.7,25.4,46.7
7,Kevin Durant,BKN,25,32.5,.544,.870,2.5,6.7,5.2,0.6,1.3,3.6,27.5,46.5
8,Kyrie Irving,BKN,45,35.2,.507,.923,2.7,5.0,6.5,1.3,0.6,2.5,27.3,46.1
9,Russell Westbrook,WAS,53,35.6,.439,.624,1.3,11.0,10.9,1.3,0.3,5.0,21.8,45.9
10,Karl-Anthony Towns,MIN,39,34.3,.491,.868,2.5,10.9,4.6,0.7,1.4,3.2,24.8,45.9
11,Bradley Beal,WAS,51,35.5,.484,.899,2.2,4.8,4.6,1.2,0.4,3.3,31.1,45.7
12,Damian Lillard,POR,55,36.0,.434,.923,4.0,4.2,7.5,0.9,0.3,3.1,28.4,45.1
13,Kawhi Leonard,LAC,46,34.4,.516,.878,2.0,6.7,5.1,1.7,0.4,2.0,25.7,44.4
14,Nikola Vucevic,CHI,61,33.5,.488,.833,2.6,11.3,3.8,1.0,0.7,1.8,23.9,44.2
15,Zion Williamson,NOR,55,33.0,.617,.700,0.2,7.3,3.6,0.9,0.7,2.6,27.0,44.1
16,Julius Randle,NYK,60,37.5,.462,.805,2.2,10.5,6.0,1.0,0.3,3.5,24.0,43.8
17,Zach LaVine,CHI,53,35.2,.506,.848,3.4,5.1,5.1,0.8,0.5,3.6,27.5,43.0
18,Trae Young,ATL,54,34.2,.429,.874,2.3,3.9,9.6,0.9,0.2,4.2,25.3,42.5
19,Jimmy Butler,MIA,44,33.9,.493,.857,0.4,7.0,7.3,2.1,0.4,2.3,21.3,41.9
20,Domantas Sabonis,IND,53,35.7,.520,.731,0.8,11.6,6.0,1.1,0.5,3.4,19.9,41.6
21,Jayson Tatum,BOS,55,35.6,.453,.869,2.9,7.4,4.3,1.2,0.4,2.7,25.7,41.3
